shotmap/player/name,shotmap/player/firstName,shotmap/player/lastName,shotmap/player/slug,shotmap/player/shortName,shotmap/player/position,shotmap/player/jerseyNumber,shotmap/player/userCount,shotmap/player/id,shotmap/isHome,shotmap/shotType,shotmap/situation,shotmap/playerCoordinates/x,shotmap/playerCoordinates/y,shotmap/playerCoordinates/z,shotmap/bodyPart,shotmap/goalMouthLocation,shotmap/goalMouthCoordinates/x,shotmap/goalMouthCoordinates/y,shotmap/goalMouthCoordinates/z,shotmap/xg,shotmap/id,shotmap/time,shotmap/addedTime,shotmap/timeSeconds,shotmap/draw/start/x,shotmap/draw/start/y,shotmap/draw/end/x,shotmap/draw/end/y,shotmap/draw/goal/x,shotmap/draw/goal/y,shotmap/reversedPeriodTime,shotmap/reversedPeriodTimeSeconds,shotmap/incidentType,shotmap/blockCoordinates/x,shotmap/blockCoordinates/y,shotmap/blockCoordinates/z,shotmap/xgot,shotmap/draw/block/x,shotmap/draw/block/y,shotmap/goalType,shotmap/player/fieldTranslations/nameTranslation/ar,shotmap/player/fieldTranslations/shortNameTranslation/ar
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,miss,assisted,11,48.3,0,head,right,0,40.3,15.3,0.11627905070782,2418002,90,8,5829,48.3,11,59.7,0,59.7,84.7,1,471,shot,,,,,,,,,
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,save,assisted,18.1,31.1,0,right-foot,high-left,0,52.3,33.5,0.029400439932942,2417999,90,5,5662,31.1,18.1,47.7,0,47.7,66.5,1,638,shot,2,48.9,0,0.1876,48.9,2,,,
Nicolas Janvier,,,nicolas-janvier,N. Janvier,M,17,110,802150,true,goal,fast-break,21,48.9,0,right-foot,high-right,0,45.8,23.4,0.087714552879333,2417996,90,3,5564,48.9,21,54.2,0,54.2,76.6,1,736,shot,,,,0.507,,,regular,,
Moryke Fofana,,,moryke-fofana,M. Fofana,F,7,180,269199,false,block,assisted,21.6,31.7,0,right-foot,low-right,0,47.1,19,0.029285771772265,2417995,90,3,5532,31.7,21.6,52.9,0,52.9,81,1,768,shot,12.1,41,0,,41,12.1,,,
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,goal,assisted,8.3,57.7,0,head,low-left,0,54,13.3,0.067712225019932,2417986,86,,5130,57.7,8.3,46,0,46,86.7,5,270,shot,,,,0.4003,,,regular,,
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,miss,corner,4.2,37.9,0,head,right,0,39.3,12.5,0.033082377165556,2417975,77,,4595,37.9,4.2,60.7,0,60.7,87.5,14,805,shot,2.8,77.3,0,,77.3,2.8,,,
Youssef Aït Bennasser,,,youssef-ait-bennasser,Y. A. Bennasser,M,6,445,802850,false,miss,regular,25.4,37.8,0,right-foot,high-right,0,37.1,68.1,0.02048572152853,2417969,72,,4273,37.8,25.4,62.9,0,62.9,31.9,19,1127,shot,,,,,,,,,
Olivier Ntcham,,,olivier-ntcham,O. Ntcham,M,10,1087,352676,false,block,assisted,20.7,32.5,0,right-foot,low-centre,0,50.6,19,0.014713799580932,2417970,72,,4267,32.5,20.7,49.4,0,49.4,81,19,1133,shot,18.5,34.3,0,,34.3,18.5,,نتشام، أوليفيه,ن. أوليفيه
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,miss,corner,4,36.6,0,head,high-left,0,58,69.4,0.028210150077939,2417966,70,,4152,36.6,4,42,0,42,30.6,21,1248,shot,,,,,,,,,
Oğuz Aydın,,,oguz-aydin,O. Aydın,M,11,204,999396,true,save,assisted,11.9,61.3,0,left-foot,low-centre,0,49.5,7,0.12380015105009,2417963,68,,4075,61.3,11.9,50.5,0,50.5,93,23,1325,shot,1.5,51.6,0,0.0262,51.6,1.5,,,
João Novais,,,joao-novais,J. Novais,M,10,219,233370,true,save,assisted,18.4,57.9,0,right-foot,low-centre,0,49.3,19,0.053552154451609,2417959,66,,3942,57.9,18.4,50.7,0,50.7,81,25,1458,shot,2.7,51.6,0,0.0336,51.6,2.7,,جواو نوفيس,ج. نوفيس
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,miss,set-piece,7.4,60.7,0,head,left,0,64.4,11.1,0.03733354434371,2417951,59,,3530,60.7,7.4,35.6,0,35.6,88.9,32,1870,shot,,,,,,,,,
Oğuz Aydın,,,oguz-aydin,O. Aydın,M,11,204,999396,true,miss,corner,6.9,69.1,0,left-foot,left,0,80.5,8.3,0.011638789437711,2417949,56,,3351,69.1,6.9,19.5,0,19.5,91.7,35,2049,shot,6.3,50.2,0,,50.2,6.3,,,
Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,246,385296,true,miss,corner,4.9,48.3,0,left-foot,high,0,48.4,79.2,0.25245314836502,2417944,51,,3016,48.3,4.9,51.6,0,51.6,20.8,40,2384,shot,,,,,,,,فيدان عليتي,ف. عليتي
Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,D,88,95,1084884,true,miss,assisted,10.7,36.2,0,left-foot,left,0,60,16.7,0.1075606122613,2417935,45,,2641,36.2,10.7,40,0,40,83.3,1,59,shot,,,,,,,,,
Efecan Karaca,,,efecan-karaca,E. Karaca,F,7,204,60510,true,miss,assisted,12.8,59.7,0,right-foot,high,0,48.4,86.1,0.18529751896858,2417933,43,,2562,59.7,12.8,51.6,0,51.6,13.9,3,138,shot,,,,,,,,,
Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,D,88,95,1084884,true,miss,fast-break,7.4,35,0,left-foot,close-right,0,41.2,6.9,0.089380986988544,2417931,42,,2506,35,7.4,58.8,0,58.8,93.1,4,194,shot,,,,,,,,,
Flavien Tait,,,flavien-tait,F. Tait,M,13,177,312388,false,miss,assisted,13,29.9,0,right-foot,right,0,40.7,25,0.032247435301542,2417930,41,,2442,29.9,13,59.3,0,59.3,75,5,258,shot,,,,,,,,فلافين تايت,ف. تايت
Efecan Karaca,,,efecan-karaca,E. Karaca,F,7,204,60510,true,miss,assisted,7.8,62.3,0,left-foot,high-right,0,38.7,61.1,0.052358999848366,2417928,40,,2346,62.3,7.8,61.3,0,61.3,38.9,6,354,shot,,,,,,,,,
Carlo Holse,,,carlo-holse,C. Holse,F,21,338,837012,false,post,regular,22.9,45.8,0,left-foot,high,0,45.6,41.8,0.071783691644669,2417927,35,,2085,45.8,22.9,54.4,0,54.4,58.2,11,615,shot,,,,,,,,,
Alim Öztürk,,,alim-ozturk,A. Öztürk,D,5,41,151074,false,save,set-piece,9.8,37,0,head,low-left,0,53.9,12,0.01546211540699,2417917,29,,1713,37,9.8,46.1,0,46.1,88,17,987,shot,0.90000000000001,47.7,0,0.1371,47.7,0.90000000000001,,,
Oğuz Aydın,,,oguz-aydin,O. Aydın,M,11,204,999396,true,goal,assisted,10.1,63.2,0,right-foot,high-left,0,52.3,32.3,0.17606799304485,2417916,27,,1582,63.2,10.1,47.7,0,47.7,67.7,19,1118,shot,,,,0.7638,,,regular,,
Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,182,171625,true,block,set-piece,23.4,71.1,0,left-foot,low-centre,0,51.3,19,0.013464094139636,2417914,26,,1501,71.1,23.4,48.7,0,48.7,81,20,1199,shot,11.4,59.6,0,,59.6,11.4,,,
Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,246,385296,true,block,set-piece,11.4,58.3,0,left-foot,low-centre,0,48.4,19,0.049529436975718,2417913,25,,1498,58.3,11.4,51.6,0,51.6,81,21,1202,shot,9.6,57.2,0,,57.2,9.6,,فيدان عليتي,ف. عليتي
Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,2,70,1133301,true,miss,set-piece,11.3,47.9,0,head,right,0,37.3,13.9,0.036002233624458,2417911,25,,1496,47.9,11.3,62.7,0,62.7,86.1,21,1204,shot,9.8,54.7,0,,54.7,9.8,,,
Carlo Holse,,,carlo-holse,C. Holse,F,21,338,837012,false,miss,corner,19.1,48.3,0,left-foot,high,0,52.8,77.8,0.051707930862904,2417904,18,,1045,48.3,19.1,47.2,0,47.2,22.2,28,1655,shot,,,,,,,,,
Yunus Emre Çift,Yunus Cift,,yunus-emre-cift,Y. E. Çift,D,22,99,1063325,false,block,regular,30,57.3,0,right-foot,low-left,0,53.5,19,0.0074358298443258,2417902,16,,945,57.3,30,46.5,0,46.5,81,30,1755,shot,18.2,53.1,0,,53.1,18.2,,,
Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,D,88,95,1084884,true,goal,fast-break,5.2,47.4,0,left-foot,high-left,0,53.7,28.5,0.60983520746231,2417900,14,,827,47.4,5.2,46.3,0,46.3,71.5,32,1873,shot,,,,0.9929,,,regular,,
Richard Cândido,,,richard-candido,Richard Cândido,M,25,287,897617,true,save,set-piece,14.4,50.5,0,right-foot,low-centre,0,50,6.3,0.040072094649076,2417898,14,,783,50.5,14.4,50,0,50,93.7,32,1917,shot,2.5,51.6,0,0.0189,51.6,2.5,,,
Olivier Ntcham,,,olivier-ntcham,O. Ntcham,M,10,1087,352676,false,miss,assisted,27.4,52.6,0,left-foot,close-right,0,43.4,5.6,0.015187322162092,2417891,9,,539,52.6,27.4,56.6,0,56.6,94.4,37,2161,shot,,,,,,,,نتشام، أوليفيه,ن. أوليفيه
Alim Öztürk,,,alim-ozturk,A. Öztürk,D,5,41,151074,false,miss,free-kick,28.8,48.1,0,right-foot,high,0,51.1,62.5,0.035111375153065,2417887,6,,310,48.1,28.8,48.9,0,48.9,37.5,40,2390,shot,,,,,,,,,
Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,9,361,943593,false,miss,assisted,6.9,44,0,head,close-high,0,55.6,50,0.22470134496689,2417882,3,,157,44,6.9,44.4,0,44.4,50,43,2543,shot,,,,,,,,,
